Comment,Designator,Footprint,LibRef,Quantity

"100nF 0402","C1, C5, C6, C7, C22, C23, C24, C25, C26, C28","C0402","C0402-100nF","10"
"4.7uF 0603","C2, C3, C4, C20, C21","C0603","C-4.7uF-0603","5"
"1.5pF 0402","C8","C0402","C0402-1.5pF","1"
"1.0pF 0402","C9","C0402","C0402-1.0pF","1"
"33nF 0402","C10","C0402","C0402-33nF","1"
"10nF 0402","C11","C0402","C0402-10nF","1"
"1nF 0402","C12","C0402","C0402-1nF","1"
"2.2nF 0402","C13","C0402","C0402-2.2nF","1"
"4.7pF 0402","C14","C0402","C0402-4.7pF","1"
"20pF 0402","C15, C16","C0402","C0402-20pF","2"
"10uF 0603","C17, C18, C19, C27, C29","C0603","C-10.0uF-0603","5"
"NSR0530HT1G","D1, D2","SOD-323","NSR0530HT1G","2"
"CONREVSMA003.062","J1","CON-SMA-EDGE062","CONREVSMA003.062","1"
"53261-0271","J2, J7","0532610271","53261-0271","2"
"Header 2","J3","DUAL_PADS","DUAL_PADS","1"
"0483930003","J4","0483930003","0483930003","1"
"PAD-SINGLE","J5, J6, J9, J10, J11, J12, J13","PAD-SINGLE","PAD-SINGLE","7"
"SMD connector 4pos","J8","0532610471","0532610471","1"
"3.9nH 0402","L1","L0402","L0402-3.9nH","1"
"8.2nH 0402","L2","L0402","L0402-8.2nH","1"
"2.7nH 0402","L3","L0402","L0402-2.7nH","1"
"2.2uH","L4","L1210","DFE322520FD-2R2M=P2","1"
"MSL0402RGBU","LED1","MSL0402RGBU","MSL0402RGBU","1"
"LED WHITE 0603","LED2, LED3, LED4","LED_0603","LED_ESML0603","3"
"CSD25402Q3A","M1, M2","SON65P330X90-8N","CSD25402Q3A","2"
"n-mos low power","Q1","SOT-23-3","NDS351N","1"
"120 0402","R1","R0402","R-120-0402","1"
"10k 0402","R2, R9, R10, R14, R15, R16, R17, R18, R20","R0402","R-10k-0402","9"
"470 0402","R3, R4, R5, R12, R19, R21","R0402","R-470-0402","6"
"22k 0402","R6","R0402","R-22k-0402","1"
"1M 0402","R7","R0402","R-1M-0402","1"
"100 0402","R8","R0402","R-100-0402","1"
"2k 0402","R11","R0402","R-2k-0402","1"
"100k 0402","R13","R0402","R-100k-0402","1"
"EVQ-P7A01P","SW1","EVQ-P7A01P","EVQ-P7A01P","1"
"STM32F730R8T6","U1","QFP-64","STM32F730R8T6","1"
"NRF24L01","U2","QFN20","NRF24L01","1"
"TPS63001DRCR","U3","DRC0010J","TPS63001DRCR","1"
"CP2102-GM","U4","QFN28","CP2102-GM","1"
"MCP73831","U5","SOT-23-5","MCP73831","1"
"MPU-6500","U6","QFN24","MPU-6500","1"
"TCAN332DR","U7","SOIC8-D0008A","TCAN332","1"
"SN74LVC1G80DCK","U8","DCK-SC70-TI","SN74LVC1G80DCK","1"
"OPA170AIDBVT","U9","DBV-SOT-23","OPA170AIDBVT","1"
"16MHz","Y2","NDK NX3225GA","NDK Crystal NX3225SA","1"
